브랜드,차종,세부차종,가격
BMW,1시리즈,1시리즈 2세대 (12~19년),4370
BMW,1시리즈,1시리즈 3세대 (20년~현재),4200
BMW,2시리즈,2시리즈 1세대 (13~16년),5000
BMW,2시리즈,2시리즈 그란 쿠페,4210
BMW,2시리즈,2시리즈 액티브 투어러 1세대 (14년~현재),4190
BMW,3시리즈,3시리즈 4세대 (97~06년),6110
BMW,3시리즈,3시리즈 5세대 (05~13년),6000
BMW,3시리즈,3시리즈 6세대 (12~18년),5800
BMW,3시리즈,3시리즈 7세대 (19년~현재),5180
BMW,4시리즈,4시리즈 1세대 (13~20년),6300
BMW,5시리즈,5시리즈 4세대 (95~03년),8500
BMW,5시리즈,5시리즈 5세대 (03~10년),7000
BMW,5시리즈,5시리즈 6세대 (10~16년),7500
BMW,5시리즈,5시리즈 7세대 (17년~현재),8000
BMW,6시리즈,6시리즈 2세대 (03~10년),15000
BMW,6시리즈,6시리즈 3세대 (11~18년),12000
BMW,6시리즈,6시리즈 4세대 (18~현재),8150
BMW,7시리즈,7시리즈 3세대 (94~01년),9500
BMW,7시리즈,7시리즈 4세대 (02~09년),14000
BMW,7시리즈,7시리즈 5세대 (08~15년),15000
BMW,7시리즈,7시리즈 6세대 (16년~현재),17000
BMW,i3,i3 (14년~현재),6200
BMW,i8,i8 (15년~현재),20000
BMW,M2,M2 (16년~현재),11550
BMW,M3,M3 5세대 (14년~현재),12000
BMW,M4,M4 1세대 (14년~현재),11810
BMW,M5,M5 5세대 (12~17년),14280
BMW,M5,M5 6세대 (18년~현재),17000
BMW,M6,M6 2세대 (05~10년),18500
BMW,X1,X1 1세대 (10~15년),5000
BMW,X1,X1 2세대 (16년~현재),5000
BMW,X2,X2 (18년~현재),5500
BMW,X3,X3 1세대 (04~10년),7410
BMW,X3,X3 2세대 (11~17년),6850
BMW,X3,X3 3세대 (17년~현재),7500
BMW,X4,X4 1세대 (14~18년),7000
BMW,X4,X4 2세대 (18년~현재),8000
BMW,X5,X5 3세대 (13~18년),10500
BMW,X5,X5 4세대 (19년~현재),11000
BMW,X6,X6 1세대 (08~14년),11000
BMW,X6,X6 2세대 (14~19년),12500
BMW,X6,X6 3세대 (20년~현재),13000
BMW,X7,X7 (19년~현재),13000
BMW,Z4,Z4 1세대 (02~09년),7000
BMW,Z4,Z4 2세대 (09~16년),8500
기아,니로,니로 (16~19년),3000
기아,니로,니로 EV (18년~현재),5000
기아,니로,더 뉴 니로 (19년~현재),3200
기아,레이,더 뉴 레이 (17년~현재),1300
기아,레이,레이 (11~17년),1500
기아,레토나,레토나 (98~03년),1500
기아,로체,로체 (05~07년),2500
기아,로체,로체 어드밴스 (07~08년),2000
기아,로체,로체 이노베이션 (08~10년),2200
기아,모닝,뉴모닝 (08~11년),1000
기아,모닝,더 뉴 모닝 (15~17년),1000
기아,모닝,모닝 (04~08년),1000
기아,모닝,모닝 어반 (20년~현재),1250
기아,모닝,올 뉴 모닝 (11~15년),1300
기아,모닝,올 뉴 모닝 (17~20년),1350
기아,모하비,더 뉴 모하비 (16년~19년),4400
기아,모하비,모하비 (07~16년),4000
기아,모하비,모하비 더 마스터 (19년~현재),5250
기아,봉고,더 뉴 봉고3 (19년~현재),2500
기아,봉고,봉고3 (04~19년),1500
기아,봉고,봉고3 EV (20년~현재),4500
기아,셀토스,셀토스 (19년~현재),2750
기아,스토닉,스토닉 (17년~현재),2000
기아,스팅어,스팅어 (17~20년),4000
기아,스팅어,스팅어 마이스터 (20년~현재),4500
기아,스포티지,기아 더 SUV 스포티지,2500
기아,스포티지,뉴 스포티지 (04~10년),3000
기아,스포티지,더 뉴 스포티지R (13~16년),2500
기아,스포티지,스포티지 4세대 (15~18년),2500
기아,스포티지,스포티지 더 볼드 (18년~현재),3000
