모델,가격,갯수,1,2,3,4,5
124,3580,1,-1,-1,-1,-1,-1
1시리즈 2세대 (12~19년),1538,24,4시리즈 1세대 (13~20년),7시리즈 6세대 (16년~현재),1시리즈 3세대 (20년~현재),머스탱 6세대,X3 3세대 (17년~현재)
1시리즈 3세대 (20년~현재),3786,5,X1 2세대 (16년~현재),2시리즈 그란 쿠페,X3 3세대 (17년~현재),머스탱 6세대,i3 (14년~현재)
2008,1003,13,CC,티구안 1세대,더 비틀 3세대,X4 1세대 (14~18년),X6 2세대 (14~19년)
207,547,4,시로코 3세대,쿠퍼 클럽맨 1세대,쿠퍼 컨버터블 3세대,500,더 비틀 3세대
208,936,3,C3 에어크로스,베르나,쿠퍼 컨버터블 3세대,쿠퍼 쿠페,볼트EV
2시리즈 1세대 (13~16년),1810,2,-1,-1,-1,-1,-1
2시리즈 그란 쿠페,4496,3,시로코 3세대,더 비틀 3세대,i3 (14년~현재),C3 에어크로스,쿠퍼 컨버터블 3세대
2시리즈 액티브 투어러 1세대 (14년~현재),2118,8,3시리즈 5세대 (05~13년),제타 6세대,골프 6세대,X1 1세대 (10~15년),X3 2세대 (11~17년)
3008 1세대,664,5,투아렉 2세대,XC90 2세대,레인지로버이보크 1세대,퓨전 2세대,CRV 5세대
3008 2세대,2780,6,마칸,레인저,DS3,V40 크로스컨트리,레인지로버 4세대
300C 1세대,794,2,-1,-1,-1,-1,-1
300C 2세대,1197,7,LS 4세대,MKS,파나메라 2세대,파나메라 1세대,V90 크로스컨트리
308,1105,4,페이톤,쿠가,르반떼,폴로 5세대,IS 2세대
3시리즈 4세대 (97~06년),299,1,-1,-1,-1,-1,-1
3시리즈 5세대 (05~13년),551,5,2시리즈 액티브 투어러 1세대 (14년~현재),3시리즈 7세대 (19년~현재),X3 3세대 (17년~현재),5시리즈 5세대 (03~10년),1시리즈 3세대 (20년~현재)
3시리즈 6세대 (12~18년),2405,93,3시리즈 7세대 (19년~현재),3시리즈 5세대 (05~13년),2시리즈 액티브 투어러 1세대 (14년~현재),골프 7세대,제타
3시리즈 7세대 (19년~현재),4113,16,3시리즈 6세대 (12~18년),3시리즈 5세대 (05~13년),2시리즈 액티브 투어러 1세대 (14년~현재),제타,골프 7세대
4시리즈 1세대 (13~20년),2627,46,7시리즈 6세대 (16년~현재),1시리즈 2세대 (12~19년),5시리즈 4세대 (95~03년),X5 3세대 (13~18년),머스탱 6세대
500,1337,4,쿠퍼 컨버터블 3세대,쿠퍼 클럽맨 1세대,베르나,207,2시리즈 그란 쿠페
5008 2세대,2820,3,3008 1세대,어코드 9세대,쿠가,XC90 2세대,퓨전 2세대
500X,1534,2,-1,-1,-1,-1,-1
508 1세대,853,6,XC90 2세대,3008 1세대,레인지로버 4세대,V40 2세대,508 2세대
508 2세대,2402,4,XJ,CRV 5세대,레인지로버 4세대,어코드 9세대,XC90 2세대
5시리즈 4세대 (95~03년),408,6,5시리즈 5세대 (03~10년),7시리즈 6세대 (16년~현재),X3 3세대 (17년~현재),X1 2세대 (16년~현재),6시리즈 3세대 (11~18년)
5시리즈 5세대 (03~10년),554,5,5시리즈 4세대 (95~03년),6시리즈 3세대 (11~18년),X3 3세대 (17년~현재),3시리즈 5세대 (05~13년),X1 2세대 (16년~현재)
5시리즈 6세대 (10~16년),2282,103,5시리즈 7세대 (17년~현재),5시리즈 4세대 (95~03년),5시리즈 5세대 (03~10년),4시리즈 1세대 (13~20년),7시리즈 6세대 (16년~현재)
5시리즈 7세대 (17년~현재),4531,90,5시리즈 6세대 (10~16년),5시리즈 4세대 (95~03년),5시리즈 5세대 (03~10년),4시리즈 1세대 (13~20년),7시리즈 6세대 (16년~현재)
6시리즈 2세대 (03~10년),850,1,-1,-1,-1,-1,-1
6시리즈 3세대 (11~18년),3394,9,X1 2세대 (16년~현재),머스탱 6세대,X3 3세대 (17년~현재),1시리즈 3세대 (20년~현재),M3 5세대 (14년~현재)
6시리즈 4세대 (18~현재),6490,3,르반떼,S90 2세대,파나메라 1세대,V90 크로스컨트리,코세어
7시리즈 3세대 (94~01년),590,1,-1,-1,-1,-1,-1
7시리즈 4세대 (02~09년),580,1,-1,-1,-1,-1,-1
7시리즈 5세대 (08~15년),2321,5,르반떼,6시리즈 4세대 (18~현재),S90 2세대,6시리즈 3세대 (11~18년),i3 (14년~현재)
7시리즈 6세대 (16년~현재),6292,13,6시리즈 3세대 (11~18년),머스탱 6세대,X3 3세대 (17년~현재),5시리즈 4세대 (95~03년),4시리즈 1세대 (13~20년)
86,2690,1,-1,-1,-1,-1,-1
A1,1180,1,-1,-1,-1,-1,-1
A3 3세대,1666,11,A4 5세대,Q3 1세대,파사트 7세대,A6 3세대,Q5 1세대
A4 3세대,300,1,-1,-1,-1,-1,-1
A4 4세대,1139,29,A4 5세대,A3 3세대,제타,골프 7세대,Q5 1세대
A4 5세대,3034,13,A4 4세대,A3 3세대,A5 2세대,A6 5세대,A6 3세대
A5 1세대,1544,5,S4,A6 3세대,Q7 2세대,Q5 2세대,캠리 8세대
A5 2세대,2188,13,A6 5세대,A6 3세대,S60 2세대,A5 1세대,XF
A6 3세대,555,4,A5 1세대,A5 2세대,S4,A6 5세대,Q7 2세대
A6 4세대,2205,71,A6 5세대,A5 2세대,A4 5세대,A6 3세대,Q5 1세대
A6 5세대,5308,9,A5 2세대,A6 3세대,A6 4세대,Q5 1세대,A5 1세대
A7 1세대,2843,27,토러스,A5 2세대,A6 3세대,A4 5세대,머스탱 6세대
A7 2세대,7930,2,-1,-1,-1,-1,-1
A8 2세대,540,1,-1,-1,-1,-1,-1
A8 3세대,1763,3,QX60,Q70,FPACE,알티마 6세대,CRV 5세대
A8 4세대,9465,2,-1,-1,-1,-1,-1
AMG GT,20052,3,S클래스 7세대,CLS클래스 3세대,B클래스 2세대,CLS클래스 2세대,GLK클래스
ATS,1687,2,CTS,CT6,QX60,쿠가,Q50
All New 마티즈,180,1,-1,-1,-1,-1,-1
A클래스 3세대,2045,14,A클래스 4세대,CLA클래스 1세대,쿠퍼 클럽맨 2세대,GLA클래스 1세대,AMG GT
A클래스 4세대,4201,15,A클래스 3세대,CLA클래스 1세대,쿠퍼 클럽맨 2세대,GLA클래스 1세대,AMG GT
B클래스 1세대,510,2,-1,-1,-1,-1,-1
B클래스 2세대,2126,5,CLS클래스 3세대,GLB클래스,AMG GT,GLK클래스,GLA클래스 2세대
C3 에어크로스,1902,4,208,쿠퍼 컨버터블 3세대,더 비틀 3세대,디스커버리 4,쿠퍼 쿠페
C30,570,1,-1,-1,-1,-1,-1
C4 칵투스,1280,1,-1,-1,-1,-1,-1
C40,4260,5,퓨전 2세대,쿠가,컴패스 2세대,SLK클래스 3세대,V60 크로스컨트리 2세대
C5 에어크로스,2820,2,-1,-1,-1,-1,-1
CC,610,2,아테온,파사트 7세대,뉴 CC,파사트 GT 8세대,티구안 1세대
CK,239,2,-1,-1,-1,-1,-1
CLA클래스 1세대,2803,22,C클래스 3세대,A클래스 4세대,A클래스 3세대,GLA클래스 1세대,AMG GT
CLA클래스 2세대,4965,2,-1,-1,-1,-1,-1
CLS클래스 2세대,3482,10,CLS클래스 3세대,GLB클래스,GLE클래스 1세대,B클래스 2세대,AMG GT
CLS클래스 3세대,7143,5,B클래스 2세대,AMG GT,S클래스 7세대,CLS클래스 2세대,GLB클래스
CRV 3세대,845,2,-1,-1,-1,-1,-1
CRV 4세대,1810,2,-1,-1,-1,-1,-1
CRV 5세대,3170,6,올 뉴 에비에이터,디스커버리 5,레인지로버 4세대,XJ,XC90 2세대
CT,3215,1,-1,-1,-1,-1,-1
CT6,3386,3,어코드 10세대,QX60,캠리 7세대,알티마 5세대,뉴 XF
CTS,1914,4,Q50,ATS,어코드 10세대,CT6,몬데오 4세대
C클래스 3세대,1138,13,CLA클래스 1세대,C클래스 4세대,GLE클래스 1세대,GLA클래스 1세대,CLS클래스 2세대
C클래스 4세대,3289,72,C클래스 3세대,CLA클래스 1세대,GLA클래스 1세대,GLC클래스,GLE클래스 1세대
DS3,624,2,레인저,레인지로버 4세대,3008 2세대,디스커버리 5,투아렉 2세대
DS4,690,1,-1,-1,-1,-1,-1
DS5,820,1,-1,-1,-1,-1,-1
DS7 크로스백,3650,1,-1,-1,-1,-1,-1
EF쏘나타,390,1,-1,-1,-1,-1,-1
EPACE,3290,2,Q70,XT5,박스터,CRV 5세대,파일럿 3세대
EQ900,3283,133,G90,G80,더 올 뉴 G80,G70,GV80
EQC,7050,1,-1,-1,-1,-1,-1
ES 5세대,929,1,-1,-1,-1,-1,-1
ES 6세대,2791,10,캠리 8세대,UX,프리우스,MKZ 2세대,LS 5세대
ES 7세대,5155,2,-1,-1,-1,-1,-1
EV6 (21년~현재),5606,3,MKC,시빅 10세대,EPACE,쏠라티,볼트EV
EX,530,1,-1,-1,-1,-1,-1
E클래스 10세대,4809,124,E클래스 9세대,GLA클래스 1세대,GLE클래스 1세대,CLA클래스 1세대,S클래스 6세대
E클래스 7세대,5240,1,-1,-1,-1,-1,-1
E클래스 8세대,690,1,-1,-1,-1,-1,-1
E클래스 9세대,1877,50,E클래스 10세대,GLA클래스 1세대,GLE클래스 1세대,C클래스 3세대,CLA클래스 1세대
F150,4536,5,글래디에이터,레인저,볼트EV,쏠라티,EV6 (21년~현재)
FPACE,4104,5,XJ,노틸러스,쿠가,XT5,Q70
FX,530,1,-1,-1,-1,-1,-1
F타입,4771,3,박스터,어코드 10세대,알티마 5세대,XT5,QX60
G37,890,1,-1,-1,-1,-1,-1
G4 렉스턴,2607,50,렉스턴 스포츠,렉스턴 스포츠 칸,올 뉴 렉스턴,코란도 C,더 뉴 렉스턴 스포츠 칸
G70,2664,116,EQ900,G80,G90,GV80,GV70
G80,2989,296,EQ900,G90,GV80,GV70,G70
G90,4888,75,EQ900,더 올 뉴 G80,G80,더 뉴 G70,GV70
GLA클래스 1세대,3075,33,GLC클래스,A클래스 4세대,CLA클래스 1세대,A클래스 3세대,GLE클래스 1세대
GLA클래스 2세대,4910,3,GLE클래스 2세대,CT6,B클래스 2세대,어코드 10세대,알티마 5세대
GLB클래스,5746,3,GLK클래스,B클래스 2세대,CLS클래스 3세대,GLE클래스 1세대,CLS클래스 2세대
GLC클래스,5264,20,GLA클래스 1세대,GLE클래스 1세대,C클래스 3세대,CLA클래스 1세대,GLK클래스
GLE클래스 1세대,4762,9,GLK클래스,GLB클래스,CLS클래스 2세대,CLS클래스 3세대,B클래스 2세대
GLE클래스 2세대,10116,4,GLA클래스 2세대,CT6,QX60,어코드 9세대,ATS
GLK클래스,1688,4,GLB클래스,GLE클래스 1세대,CLS클래스 3세대,B클래스 2세대,AMG GT
GLS클래스 2세대,6424,2,-1,-1,-1,-1,-1
GS 4세대,1960,1,-1,-1,-1,-1,-1
GV60,7385,2,-1,-1,-1,-1,-1
GV70,4058,37,GV80,G90,EQ900,G80,더 올 뉴 G80
GV80,3287,55,GV70,G90,G80,EQ900,G70
G클래스 2세대,7900,1,-1,-1,-1,-1,-1
H2,5400,1,-1,-1,-1,-1,-1
HRV,1299,1,-1,-1,-1,-1,-1
I30,467,5,아반떼 CN7 하이브리드,시빅 10세대,LS 5세대,넥쏘,i30 GD
IS 2세대,643,3,XJ,쿠가,508 2세대,QX60,시빅 10세대
IS 3세대,2372,3,콰트로포르테  6세대,시빅 10세대,QX60,IS 2세대,프리우스 4세대
K3 (12~15년),912,76,올 뉴 K3 (18~21년),더 뉴 K3 (15~18년),쏘울 부스터 (19년~현재),쏘울 (08~13년),포르테 (08~13년)
K3 쿱 (13~16년),975,2,-1,-1,-1,-1,-1
K5 (10~13년),732,59,더 뉴 K5 (18~20년),더 뉴 K5 (13~15년),K5 2세대 (15~18년),K5 (19년~현재),스팅어 (17~20년)
K5 (19년~현재),2327,114,더 뉴 K5 (13~15년),더 뉴 K5 (18~20년),K5 2세대 (15~18년),K5 (10~13년),스팅어 (17~20년)
K5 2세대 (15~18년),1182,118,더 뉴 K5 (13~15년),더 뉴 K5 (18~20년),K5 (10~13년),K5 (19년~현재),스팅어 (17~20년)
K5 하이브리드 (11~15년),985,12,K5 하이브리드 (19년~현재),K5 하이브리드 2세대 (15~18년),더 뉴 K5 하이브리드 (18~19년),YF소나타 하이브리드,K5 (10~13년)
K5 하이브리드 (19년~현재),3232,17,K5 하이브리드 (11~15년),K5 (10~13년),더 뉴 K5 (18~20년),YF소나타 하이브리드,K5 2세대 (15~18년)
K5 하이브리드 2세대 (15~18년),1873,3,스팅어 마이스터 (20년~현재),로체 이노베이션 (08~10년),캠리 8세대,ES 6세대,YF소나타 하이브리드
K7 (09~11년),586,6,더 뉴 K9 (21년~현재),K8 (21년~현재),K7 하이브리드 (13~16년),오피러스 프리미엄 (09~11년),300C 2세대
K7 프리미어 (19~21년),1922,80,더 뉴 K7 (12~16년),올 뉴 K7 (16~19년),더 프레스티지 K7 (11~12년),K7 프리미어 하이브리드 (19~21년),올 뉴 K7 하이브리드 (16년~현재)
K7 프리미어 하이브리드 (19~21년),2762,23,올 뉴 K7 하이브리드 (16년~현재),더 프레스티지 K7 (11~12년),더 뉴 K7 (12~16년),K7 하이브리드 (13~16년),K7 프리미어 (19~21년)
K7 하이브리드 (13~16년),1178,6,K7 프리미어 하이브리드 (19~21년),K7 (09~11년),올 뉴 K7 하이브리드 (16년~현재),더 프레스티지 K7 (11~12년),더 뉴 K9 (21년~현재)
K8 (21년~현재),3774,5,더 뉴 K9 (21년~현재),300C 2세대,LS 5세대,오피러스 프리미엄 (09~11년),LS 4세대
K8 하이브리드 (21년~현재),4550,1,-1,-1,-1,-1,-1
K9 (12~14년),1644,27,더 뉴 K9 (14~18년),더 K9 (18년~현재),더 뉴 K7 (12~16년),더 프레스티지 K7 (11~12년),K7 프리미어 (19~21년)
LF쏘나타,1242,112,쏘나타 DN8,쏘나타 뉴 라이즈,YF쏘나타,쏘나타 더 브릴리언트,NF쏘나타 트랜스폼
LF쏘나타 하이브리드,1542,16,쏘나타 DN8 하이브리드,쏘나타 뉴 라이즈 하이브리드,쏘나타 하이브리드,쏘나타 더 브릴리언트,YF쏘나타
LS 4세대,3051,3,파나메라 2세대,300C 2세대,파나메라 1세대,V90 크로스컨트리,Q70
LS 5세대,7078,5,UX,MKZ 2세대,프리우스,시빅 10세대,300C 2세대
M2 (16년~현재),7200,1,-1,-1,-1,-1,-1
M3 5세대 (14년~현재),5686,3,타이칸,6시리즈 4세대 (18~현재),SLK클래스 3세대,CT6,XE
M4 1세대 (14년~현재),4650,1,-1,-1,-1,-1,-1
M5 5세대 (12~17년),5190,1,-1,-1,-1,-1,-1
M5 6세대 (18년~현재),11900,1,-1,-1,-1,-1,-1
M6 2세대 (05~10년),4390,1,-1,-1,-1,-1,-1
MKC,2185,2,올 뉴 에비에이터,에스컬레이드 4세대,CRV 5세대,Q70,EPACE
MKS,856,8,300C 2세대,카운티,MKZ 2세대,LS 4세대,파나메라 1세대
MKX 1세대,860,2,-1,-1,-1,-1,-1
MKX 2세대,2125,2,-1,-1,-1,-1,-1
MKZ 2세대,1765,7,UX,NX,LS 5세대,V90 크로스컨트리,파나메라 2세대
MQ4,1257,59,뉴 쏘렌토R (12~14년),쏘렌토 4세대 (20년~현재),쏘렌토R (09~12년),올 뉴 쏘렌토 (14~17년),더 뉴 쏘렌토 (17~20년)
M클래스 2세대,1025,2,-1,-1,-1,-1,-1
M클래스 3세대,3470,3,3008 1세대,XC90 2세대,레인지로버이보크 1세대,508 1세대,디스커버리 5
NF쏘나타,288,5,YF소나타 하이브리드,i40 살룬,NF쏘나타 트랜스폼,로체 이노베이션 (08~10년),K5 하이브리드 2세대 (15~18년)
NF쏘나타 트랜스폼,445,11,쏘나타 더 브릴리언트,i40,i40 살룬,NF쏘나타,LF쏘나타
NX,4510,3,MKZ 2세대,UX,XC60 2세대,디스커버리 4,RAV4
Q3 1세대,1712,7,파사트 GT 8세대,파사트 7세대,A3 3세대,Q5 2세대,Q5 1세대
Q3 2세대,4400,1,-1,-1,-1,-1,-1
Q30,2185,8,콰트로포르테  6세대,IS 3세대,XE,포르테 쿱 (09~13년),폴로 5세대
Q5 1세대,1738,13,Q3 1세대,Q8,A3 3세대,파사트 7세대,뉴 CC
Q5 2세대,6423,3,Q7 2세대,QX60,뉴 XF,SLK클래스 3세대,쿠가
Q50,1340,4,몬데오 4세대,CTS,V40 2세대,뉴 XF,ATS
Q7 1세대,2090,1,-1,-1,-1,-1,-1
Q7 2세대,5374,5,Q5 2세대,CT6,QX60,A8 3세대,A5 1세대
Q70,1865,4,EPACE,FPACE,CRV 5세대,XC90 2세대,A8 3세대
Q8,9220,2,퓨전 2세대,Q5 2세대,투아렉 2세대,Q3 1세대,티구안 올스페이스 2세대
QM3,930,49,뉴 QM3,QM5,캡처,더 뉴 QM6,QM6
QM5,361,10,캡처,뉴 QM3,더 뉴 QM6,QM3,QM5 네오
QM5 네오,1050,8,마스터,뉴 QM6,뉴 QM5,미스터,뉴 SM5
QM6,1767,105,더 뉴 QM6,QM5,캡처,뉴 QM3,QM3
QX60,2140,2,알티마 6세대,쿠가,CT6,V60 크로스컨트리 2세대,알티마 5세대
