,index,이름,제조회사,모델명,세부모델,가격,배기량,연식,색상,주행거리,변속기,연료,차종,압류/저당,구동방식,사고유무,전손이력,생산지,신차가격,감가상각률,감가상각액(1년),2023년(예상),2024년(예상),2025년(예상),2026년(예상),2027년(예상),2028년(예상),2029년(예상),2030년(예상),현재가_감가율적용,1년후_감가율적용,2년후_감가율적용,3년후_감가율적용,4년후_감가율적용,5년후_감가율적용,현재가치_잔존가치,1년후_잔존가치,2년후_잔존가치,3년후_잔존가치,4년후_잔존가치,5년후_잔존가치,현재가치_판매이득가치,1년후_판매이득가치,2년후_판매이득가치,3년후_판매이득가치,4년후_판매이득가치,5년후_판매이득가치
0,0,쌍용 티볼리 LX 2WD 세부등급 없음,쌍용,티볼리,티볼리,1360,1597,2017,진주색,40007,자동,휘발유,SUV,0,전륜,1,0,국산차,2050,7.9,162,1198,1036,874,712,550,388,226,64,1888,1726,1564,1402,1240,1078,1486,1259,1062,896,754,638,402,467,502,506,486,440
1,1,기아 올 뉴 모닝 럭셔리,기아,모닝,올 뉴 모닝 (11~15년),670,998,2012,진주색,48280,자동,휘발유,경차,0,전륜,0,0,국산차,1300,6.8,88,582,494,406,318,230,142,54,0,1212,1124,1036,948,860,772,943,798,673,568,478,404,269,326,363,380,382,368
2,2,쉐보레(GM대우) 알페온 EL300 슈프림,쉐보레,알페온,알페온,900,2997,2012,은색,69377,자동,휘발유,대형차,0,전륜,0,0,국산차,3600,8.3,299,601,302,3,0,0,0,0,0,3301,3002,2703,2404,2105,1806,2610,2210,1865,1573,1325,1120,691,792,838,831,780,686
3,3,쌍용 렉스턴 스포츠 디젤 2.2 4WD 노블레스,쌍용,렉스턴,렉스턴 스포츠 칸,2420,2157,2019,쥐색,41820,자동,경유,SUV,0,4륜,0,0,국산차,3250,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4,4,쉐보레(GM대우) 더 뉴 말리부 1.3 터보 프리미어 세부등급없음,쉐보레,말리부,더 뉴 말리부,2240,1341,2021,검정색,29856,자동,휘발유,중형차,0,전륜,0,0,국산차,3150,10.8,340,1900,1560,1220,880,540,200,0,0,2810,2470,2130,1790,1450,1110,2284,1934,1632,1377,1159,980,526,536,498,413,291,130
5,5,현대 그랜드 스타렉스 5인승 밴 모던,현대,스타렉스,그랜드 스타렉스,1690,2497,2018,은색,103491,자동,경유,승합차,0,전륜,0,0,국산차,2600,7.2,187,1503,1316,1129,942,755,568,381,194,2413,2226,2039,1852,1665,1478,1888,1583,1326,1108,928,775,525,643,713,744,737,703
6,6,제네시스 G90 가솔린 4WD 5.0 프레스티지,제네시스,제네시스,G90,6800,5038,2019,검정색,76453,자동,휘발유,대형차,0,4륜,0,0,국산차,10737,13.6,1460,5340,3880,2420,960,0,0,0,0,9277,7817,6357,4897,3437,1977,7784,6593,5562,4692,3951,3339,1493,1224,795,205,0,0
7,7,르노삼성 SM3 네오 SE 플러스,르노삼성,SM3,SM3 네오,620,1598,2015,쥐색,93181,자동,휘발유,준중형차,0,전륜,0,0,국산차,2000,9.1,182,438,256,74,0,0,0,0,0,1818,1636,1454,1272,1090,908,1450,1228,1036,874,736,622,368,408,418,398,354,286
8,8,BMW 5시리즈 (F10) 520d xDrive M 에어로 다이나믹,BMW,5시리즈,5시리즈 6세대 (10~16년),2620,1995,2016,흰색,116143,자동,경유,중형차,0,4륜,0,0,외제차,7500,9.4,705,1915,1210,505,0,0,0,0,0,6795,6090,5385,4680,3975,3270,5468,4538,3750,3090,2550,2108,1327,1552,1635,1590,1425,1162
9,9,지프 레니게이드 2.4 리미티드,지프,레니게이드,레니게이드,2690,2360,2019,쥐색,22198,자동,휘발유,SUV,0,전륜,0,0,외제차,4090,12.2,499,2191,1692,1193,694,195,0,0,0,3591,3092,2593,2094,1595,1096,2982,2474,2045,1685,1391,1149,609,618,548,409,204,0
