세부모델,Unnamed: 0,index,가격,배기량,연식,주행거리,압류/저당,사고유무,전손이력,신차가격,감가상각률,감가상각액,현재가,1년후,2년후,3년후,4년후,5년후
124,11133.0,11133.0,3580.0,1356.0,2017.0,16784.0,0.0,1.0,0.0,3100.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
1시리즈 2세대 (12~19년),9270.208333333334,9270.208333333334,1538.0416666666667,1995.0,2015.2916666666667,87908.29166666667,0.0,0.125,0.0,4370.0,9.7,424.0,3946.0,3522.0,3098.0,2674.0,2250.0,1826.0
1시리즈 3세대 (20년~현재),3936.4,3936.4,3786.0,1997.4,2020.8,8569.6,0.0,0.2,0.0,4200.0,9.7,407.0,3793.0,3386.0,2979.0,2572.0,2165.0,1758.0
2008,10965.461538461539,10965.461538461539,1003.9230769230769,1560.0,2016.076923076923,89422.61538461539,0.0,0.07692307692307693,0.0,3113.0,11.400000000000002,355.0,2758.0,2403.0,2048.0,1693.0,1338.0,983.0
207,6838.5,6838.5,547.25,1598.0,2011.0,90632.25,0.0,0.0,0.0,3410.0,7.6,259.0,3151.0,2892.0,2633.0,2374.0,2115.0,1856.0
208,8485.0,8485.0,936.6666666666666,1560.0,2015.3333333333333,63083.666666666664,0.0,0.3333333333333333,0.0,2590.0,9.6,249.0,2341.0,2092.0,1843.0,1594.0,1345.0,1096.0
2시리즈 1세대 (13~16년),11383.5,11383.5,1810.0,1995.0,2015.5,70241.5,0.0,0.0,0.0,5000.0,10.0,500.0,4500.0,4000.0,3500.0,3000.0,2500.0,2000.0
2시리즈 그란 쿠페,3869.0,3869.0,4496.666666666667,1997.0,2020.6666666666667,15207.666666666666,0.0,0.0,0.0,4210.0,10.0,421.0,3789.0,3368.0,2947.0,2526.0,2105.0,1684.0
2시리즈 액티브 투어러 1세대 (14년~현재),3295.875,3295.875,2118.75,1995.0,2017.75,58532.625,0.0,0.0,0.0,4190.0,10.0,419.0,3771.0,3352.0,2933.0,2514.0,2095.0,1676.0
3008 1세대,11697.2,11697.2,664.0,1647.4,2012.4,127397.8,0.0,0.0,0.0,4058.0,8.6,349.0,3709.0,3360.0,3011.0,2662.0,2313.0,1964.0
3008 2세대,4717.5,4717.5,2780.0,1768.3333333333333,2018.6666666666667,52142.5,0.0,0.0,0.0,3730.0,8.6,321.0,3409.0,3088.0,2767.0,2446.0,2125.0,1804.0
300C 1세대,13566.5,13566.5,794.5,2861.5,2011.0,156034.5,0.0,0.5,0.0,6850.0,9.2,630.0,6220.0,5590.0,4960.0,4330.0,3700.0,3070.0
300C 2세대,10401.857142857143,10401.857142857143,1197.0,3426.285714285714,2014.0,109011.14285714286,0.0,0.0,0.0,5770.0,9.557142857142855,551.5714285714286,5218.428571428572,4666.857142857143,4115.285714285715,3563.714285714286,3012.1428571428573,2460.5714285714284
308,10249.5,10249.5,1105.0,1664.0,2014.75,88371.75,0.0,0.0,0.0,4750.0,10.6,504.0,4246.0,3742.0,3238.0,2734.0,2230.0,1726.0
3시리즈 4세대 (97~06년),14414.0,14414.0,299.0,1995.0,2007.0,147274.0,0.0,1.0,0.0,6110.0,9.3,568.0,5542.0,4974.0,4406.0,3838.0,3270.0,2702.0
3시리즈 5세대 (05~13년),12452.0,12452.0,551.0,1995.0,2008.8,125068.4,0.0,0.0,0.0,6000.0,9.3,558.0,5442.0,4884.0,4326.0,3768.0,3210.0,2652.0
3시리즈 6세대 (12~18년),7449.913978494624,7449.913978494624,2405.032258064516,2005.978494623656,2016.021505376344,82375.48387096774,0.0,0.08602150537634409,0.0,5800.0,9.3,539.0,5261.0,4722.0,4183.0,3644.0,3105.0,2566.0
3시리즈 7세대 (19년~현재),7198.9375,7198.9375,4113.125,2059.1875,2019.0625,36151.625,0.0,0.0625,0.0,5180.0,9.3,482.0,4698.0,4216.0,3734.0,3252.0,2770.0,2288.0
4시리즈 1세대 (13~20년),7044.173913043478,7044.173913043478,2627.6304347826085,1995.8695652173913,2016.3695652173913,87735.82608695653,0.0,0.17391304347826086,0.0,6300.0,10.4,655.0,5645.0,4990.0,4335.0,3680.0,3025.0,2370.0
500,11023.75,11023.75,1337.75,1368.0,2014.5,76061.75,0.0,0.0,0.0,2790.0,7.7,215.0,2575.0,2360.0,2145.0,1930.0,1715.0,1500.0
5008 2세대,5572.333333333333,5572.333333333333,2820.0,1685.3333333333333,2018.6666666666667,75421.66666666667,0.0,0.0,0.0,4472.0,11.1,496.0,3976.0,3480.0,2984.0,2488.0,1992.0,1496.0
500X,6630.0,6630.0,1534.5,1956.0,2016.0,69320.5,0.0,0.0,0.0,3580.0,7.7,276.0,3304.0,3028.0,2752.0,2476.0,2200.0,1924.0
508 1세대,11554.666666666666,11554.666666666666,853.1666666666666,1612.5,2013.6666666666667,138190.66666666666,0.0,0.16666666666666666,0.0,4200.0,10.3,433.0,3767.0,3334.0,2901.0,2468.0,2035.0,1602.0
508 2세대,5751.25,5751.25,2402.5,1997.25,2018.5,48740.0,0.0,0.5,0.0,4600.0,10.3,474.0,4126.0,3652.0,3178.0,2704.0,2230.0,1756.0
5시리즈 4세대 (95~03년),13835.166666666666,13835.166666666666,408.3333333333333,2513.0,2004.3333333333333,162751.16666666666,0.0,0.16666666666666666,0.0,8500.0,9.4,799.0,7701.0,6902.0,6103.0,5304.0,4505.0,3706.0
5시리즈 5세대 (03~10년),13250.6,13250.6,554.0,2795.0,2008.2,192223.0,0.0,0.2,0.0,7000.0,9.4,658.0,6342.0,5684.0,5026.0,4368.0,3710.0,3052.0
5시리즈 6세대 (10~16년),7481.456310679611,7481.456310679611,2282.757281553398,2207.9514563106795,2014.3203883495146,117017.31067961165,0.0,0.1262135922330097,0.0,7500.0,9.4,705.0,6795.0,6090.0,5385.0,4680.0,3975.0,3270.0
5시리즈 7세대 (17년~현재),6090.722222222223,6090.722222222223,4531.555555555556,2052.222222222222,2018.5444444444445,51195.9,0.0,0.08888888888888889,0.0,8000.0,9.4,752.0,7248.0,6496.0,5744.0,4992.0,4240.0,3488.0
6시리즈 2세대 (03~10년),13224.0,13224.0,850.0,4398.0,2004.0,132516.0,0.0,0.0,0.0,15000.0,9.1,1365.0,13635.0,12270.0,10905.0,9540.0,8175.0,6810.0
6시리즈 3세대 (11~18년),11564.222222222223,11564.222222222223,3394.1111111111113,2991.4444444444443,2014.3333333333333,110604.22222222222,0.0,0.0,0.0,12000.0,9.1,1092.0,10908.0,9816.0,8724.0,7632.0,6540.0,5448.0
6시리즈 4세대 (18~현재),3401.0,3401.0,6490.0,2329.3333333333335,2019.6666666666667,40664.0,0.0,0.0,0.0,8150.0,9.1,742.0,7408.0,6666.0,5924.0,5182.0,4440.0,3698.0
7시리즈 3세대 (94~01년),13002.0,13002.0,590.0,2997.0,2007.0,229069.0,0.0,0.0,0.0,9500.0,10.1,960.0,8540.0,7580.0,6620.0,5660.0,4700.0,3740.0
7시리즈 4세대 (02~09년),12867.0,12867.0,580.0,5000.0,2007.0,162384.0,0.0,0.0,0.0,14000.0,10.1,1414.0,12586.0,11172.0,9758.0,8344.0,6930.0,5516.0
7시리즈 5세대 (08~15년),11653.0,11653.0,2321.8,3551.0,2012.0,135760.8,0.0,0.2,0.0,15000.0,10.1,1515.0,13485.0,11970.0,10455.0,8940.0,7425.0,5910.0
7시리즈 6세대 (16년~현재),8708.923076923076,8708.923076923076,6292.461538461538,3425.153846153846,2017.3846153846155,75041.69230769231,0.0,0.07692307692307693,0.0,17000.0,10.099999999999998,1717.0,15283.0,13566.0,11849.0,10132.0,8415.0,6698.0
86,1285.0,1285.0,2690.0,1998.0,2017.0,51757.0,0.0,0.0,0.0,4875.0,9.0,439.0,4436.0,3997.0,3558.0,3119.0,2680.0,2241.0
A1,10927.0,10927.0,1180.0,1598.0,2014.0,98065.0,0.0,0.0,0.0,3500.0,8.3,291.0,3209.0,2918.0,2627.0,2336.0,2045.0,1754.0
A3 3세대,7605.363636363636,7605.363636363636,1666.2727272727273,1905.090909090909,2016.090909090909,73687.81818181818,0.0,0.0,0.0,4000.0,9.9,396.0,3604.0,3208.0,2812.0,2416.0,2020.0,1624.0
A4 3세대,13406.0,13406.0,300.0,2000.0,2007.0,73652.0,0.0,0.0,0.0,5000.0,9.0,450.0,4550.0,4100.0,3650.0,3200.0,2750.0,2300.0
A4 4세대,10927.862068965518,10927.862068965518,1139.5862068965516,1979.0344827586207,2013.1724137931035,110824.41379310345,0.0,0.13793103448275862,0.0,5000.0,9.0,450.0,4550.0,4100.0,3650.0,3200.0,2750.0,2300.0
A4 5세대,7204.692307692308,7204.692307692308,3034.6153846153848,1976.6153846153845,2018.3076923076924,36259.307692307695,0.0,0.23076923076923078,0.0,5500.0,9.0,495.0,5005.0,4510.0,4015.0,3520.0,3025.0,2530.0
A5 1세대,10722.8,10722.8,1544.8,1977.6,2013.0,118192.8,0.0,0.2,0.2,6450.0,9.8,632.0,5818.0,5186.0,4554.0,3922.0,3290.0,2658.0
A5 2세대,12510.23076923077,12510.23076923077,2188.3076923076924,1972.923076923077,2015.7692307692307,98486.53846153847,0.0,0.0,0.0,6350.0,9.8,622.0,5728.0,5106.0,4484.0,3862.0,3240.0,2618.0
A6 3세대,13784.75,13784.75,555.0,2674.25,2008.25,186085.0,0.0,0.0,0.0,7000.0,10.2,714.0,6286.0,5572.0,4858.0,4144.0,3430.0,2716.0
A6 4세대,9660.591549295774,9660.591549295774,2205.225352112676,2408.6901408450703,2015.4788732394366,108186.8309859155,0.0,0.056338028169014086,0.0,7000.0,10.2,714.0,6286.0,5572.0,4858.0,4144.0,3430.0,2716.0
A6 5세대,6581.0,6581.0,5308.555555555556,2197.1111111111113,2020.111111111111,30830.333333333332,0.0,0.0,0.0,7000.0,10.2,714.0,6286.0,5572.0,4858.0,4144.0,3430.0,2716.0
A7 1세대,8251.814814814816,8251.814814814816,2843.8888888888887,2981.703703703704,2014.4814814814815,112973.70370370371,0.0,0.1111111111111111,0.0,9000.0,9.3,837.0,8163.0,7326.0,6489.0,5652.0,4815.0,3978.0
A7 2세대,7704.0,7704.0,7930.0,2981.0,2020.0,13172.0,0.0,0.0,0.0,16000.0,9.3,1488.0,14512.0,13024.0,11536.0,10048.0,8560.0,7072.0
