모델명,가격,배기량,연식,주행거리,신차가격,사용연수,gamga,gamga_per
1시리즈,1925.6206896551723,1995.4137931034484,2016.2413793103449,74229.20689655172,4340.689655172414,5.758620689655173,419.3832335329342,9.7
200,1030.0,2360.0,2015.0,98448.0,5770.0,7.0,677.1428571428571,11.7
2008,1003.9230769230769,1560.0,2016.076923076923,89422.61538461539,3113.0,5.923076923076923,356.07792207792204,11.4
207,547.25,1598.0,2011.0,90632.25,3410.0,11.0,260.25,7.6
208,936.6666666666666,1560.0,2015.3333333333333,63083.666666666664,2590.0,6.666666666666667,248.0,9.6
2시리즈,2620.0,1995.4615384615386,2018.076923076923,50335.92307692308,4319.2307692307695,3.923076923076923,433.1372549019609,10.0
3008,1818.1818181818182,1713.3636363636363,2015.8181818181818,86349.45454545454,3879.090909090909,6.181818181818182,333.3823529411765,8.6
300C,1117.25,3418.375,2013.125,122087.375,6040.0,8.875,554.6760563380282,9.2
308,1105.0,1664.0,2014.75,88371.75,4750.0,7.25,502.7586206896552,10.6
3시리즈,2543.75652173913,2012.8086956521738,2016.0521739130436,78364.88695652173,5725.130434782609,5.947826086956522,534.8801169590644,9.3
4시리즈,2627.6304347826085,1995.8695652173913,2016.3695652173913,87735.82608695653,6300.0,5.630434782608695,652.2355212355213,10.4
500,1403.3333333333333,1564.0,2015.0,73814.66666666667,3053.3333333333335,7.0,235.71428571428575,7.7
5008,2820.0,1685.3333333333333,2018.6666666666667,75421.66666666667,4472.0,3.3333333333333335,495.59999999999997,11.1
508,1472.9,1766.4,2015.6,102410.4,4360.0,6.4,451.10937499999994,10.3
5시리즈,3172.2146341463413,2161.790243902439,2015.7365853658537,91330.06341463415,7706.341463414634,6.263414634146342,723.9065420560747,9.4
6시리즈,3912.846153846154,2946.846153846154,2014.7692307692307,96149.69230769231,11342.307692307691,7.230769230769231,1027.478723404255,9.1
7시리즈,4729.05,3513.95,2015.0,102289.95,15975.0,7.0,1606.564285714286,10.1
86,2690.0,1998.0,2017.0,51757.0,4875.0,5.0,437.0,9.0
A1,1180.0,1598.0,2014.0,98065.0,3500.0,8.0,290.0,8.3
A3,1666.2727272727273,1905.090909090909,2016.090909090909,73687.81818181818,4000.0,5.909090909090909,394.9384615384616,9.9
A4,1692.9767441860465,1978.7906976744187,2014.5813953488373,87417.0,5151.162790697675,7.4186046511627906,466.15047021943576,9.0
A5,2009.5555555555557,1974.2222222222222,2015.0,103960.5,6377.777777777777,7.0,624.0317460317459,9.8
A6,2459.1428571428573,2398.6666666666665,2015.6309523809523,103608.07142857143,7000.0,6.369047619047619,712.9570093457945,10.2
A7,3194.655172413793,2981.655172413793,2014.8620689655172,106090.8275862069,9482.758620689656,7.137931034482759,880.9420289855072,9.3
A8,4126.5,2999.1666666666665,2013.5,109890.66666666667,14000.0,8.5,1161.5882352941176,8.3
ATS,1687.5,1998.0,2015.0,75811.0,5450.0,7.0,537.5,9.9
A클래스,3160.6206896551726,1875.1379310344828,2018.3103448275863,39255.34482758621,5592.068965517241,3.689655172413793,658.9906542056073,11.8
B클래스,1664.2857142857142,2068.714285714286,2014.5714285714287,83492.71428571429,4171.428571428572,7.428571428571429,337.5,8.1
C30,570.0,2435.0,2008.0,84500.0,3820.0,14.0,232.14285714285714,6.1
C4,1400.0,1560.0,2016.5,76000.0,3495.0,5.5,380.90909090909093,10.9
C5,2820.0,1748.0,2019.0,37871.0,4300.0,3.0,493.3333333333333,11.5
CC,1151.2666666666667,1972.2666666666667,2013.4666666666667,110200.53333333334,4670.0,8.533333333333333,412.35156250000006,8.8
CK미니밴,239.5,1342.0,2016.5,38331.5,1100.0,5.5,156.45454545454547,14.2
CLA클래스,2983.3333333333335,2008.5,2017.1666666666667,58698.166666666664,5395.0,4.833333333333333,498.9655172413793,9.2
CLS클래스,4702.6,2670.6,2016.6666666666667,79825.86666666667,9666.666666666666,5.333333333333333,930.7624999999998,9.6
CRV,2433.0,1840.4,2015.3,56408.4,3860.0,6.7,212.98507462686567,5.5
CT,3215.0,1798.0,2018.0,18031.0,4500.0,4.0,321.25,7.1
CT6,3386.6666666666665,2548.3333333333335,2017.6666666666667,62274.666666666664,8837.0,4.333333333333333,1257.769230769231,14.2
