,index,이름,제조회사,모델명,세부모델,가격,배기량,연식,색상,주행거리,변속기,연료,차종,압류/저당,구동방식,사고유무,전손이력,생산지,신차가격,감가상각률,2023년(예상),2024년(예상),2025년(예상),2026년(예상),2027년(예상),2028년(예상),2029년(예상),2030년(예상)
0,0,쌍용 티볼리 LX 2WD 세부등급 없음,쌍용,티볼리,티볼리,1360,1597,2017,진주색,40007,자동,휘발유,SUV,0,전륜,1,0,국산차,2050,7.9,1253,1154,1063,979,902,831,765,705
1,1,기아 올 뉴 모닝 럭셔리,기아,모닝,올 뉴 모닝 (11~15년),670,998,2012,진주색,48280,자동,휘발유,경차,0,전륜,0,0,국산차,1300,6.8,624,582,542,505,471,439,409,381
2,2,쉐보레(GM대우) 알페온 EL300 슈프림,쉐보레,알페온,알페온,900,2997,2012,은색,69377,자동,휘발유,대형차,0,전륜,0,0,국산차,3600,8.3,825,757,694,636,583,535,491,450
3,3,쌍용 렉스턴 스포츠 디젤 2.2 4WD 노블레스,쌍용,렉스턴,렉스턴 스포츠 칸,2420,2157,2019,쥐색,41820,자동,경유,SUV,0,4륜,0,0,국산차,3250,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
4,4,쉐보레(GM대우) 더 뉴 말리부 1.3 터보 프리미어 세부등급없음,쉐보레,말리부,더 뉴 말리부,2240,1341,2021,검정색,29856,자동,휘발유,중형차,0,전륜,0,0,국산차,3150,10.8,1998,1782,1590,1418,1265,1128,1006,897
5,5,현대 그랜드 스타렉스 5인승 밴 모던,현대,스타렉스,그랜드 스타렉스,1690,2497,2018,은색,103491,자동,경유,승합차,0,전륜,0,0,국산차,2600,7.2,1568,1455,1350,1253,1163,1079,1001,929
6,6,제네시스 G90 가솔린 4WD 5.0 프레스티지,제네시스,제네시스,G90,6800,5038,2019,검정색,76453,자동,휘발유,대형차,0,4륜,0,0,국산차,10737,13.6,5875,5076,4386,3790,3275,2830,2445,2112
7,7,르노삼성 SM3 네오 SE 플러스,르노삼성,SM3,SM3 네오,620,1598,2015,쥐색,93181,자동,휘발유,준중형차,0,전륜,0,0,국산차,2000,9.1,564,513,466,424,385,350,318,289
8,8,BMW 5시리즈 (F10) 520d xDrive M 에어로 다이나믹,BMW,5시리즈,5시리즈 6세대 (10~16년),2620,1995,2016,흰색,116143,자동,경유,중형차,0,4륜,0,0,외제차,7500,9.4,2374,2151,1949,1766,1600,1450,1314,1190
9,9,지프 레니게이드 2.4 리미티드,지프,레니게이드,레니게이드,2690,2360,2019,쥐색,22198,자동,휘발유,SUV,0,전륜,0,0,외제차,4090,12.2,2362,2074,1821,1599,1404,1233,1083,951
10,10,쌍용 티볼리 에어 가솔린 1.6 RX 2WD,쌍용,티볼리,티볼리 에어,1580,1597,2017,흰색,45533,자동,휘발유,SUV,0,전륜,0,0,국산차,2250,7.9,1455,1340,1234,1137,1047,964,888,818
11,11,쉐보레(GM대우) 크루즈 1.8 LTZ+,쉐보레,크루즈,크루즈,670,1796,2014,검정색,54516,자동,휘발유,준중형차,0,전륜,1,0,국산차,2100,8.1,616,566,520,478,439,403,370,340
12,12,현대 아반떼 MD M16 GDI 스마트,현대,아반떼,아반떼MD,710,1591,2014,흰색,87805,자동,휘발유,준중형차,0,전륜,1,0,국산차,1700,7.3,658,610,565,524,486,451,418,387
