판매일,기간,차량/세부모델,미션,연식,연료,주행거리,색상,가격,옵션
2022-02-28,10?일,?레이 밴,오토,2015.06,휘발유,"83,955",흰색,590,옵션
,,,,[ 2016 ],,,,,
2022-02-28,21?일,?뉴 다마스 2인승 판넬밴 DLX [무],오토,2016.01,LPG,"89,433",흰색,340,옵션
,,,,[ 2015 ],,,,,
2022-02-28,83?일,?포터2 더블캡(CRDI) 초장축 SUPER [무],수동,2007.12,경유,"179,165",청색,480,옵션
,,,,[ 2008 ],,,,,
2022-02-28,109?일,?포르테GDI 럭셔리 [무],오토,2012.01,휘발유,"80,612",쥐색,530,옵션
,,,,[ 2012 ],,,,,
2022-02-28,56?일,?로체이노베이션 LEX20 최고급형 [무],오토,2009.01,휘발유,"133,732",은색,350,옵션
,,,,[ 2009 ],,,,,
2022-02-28,32?일,?더 뉴 카니발 9인승 럭셔리 [무],오토,2018.10,경유,"88,724",흰색,"2,080",옵션
,,,,[ 2019 ],,,,,
2022-02-28,76?일,?아반떼 쿠페 2.0 GDI 프리미엄 [무],오토,2013.05,휘발유,"100,000",검정색,589,옵션
,,,,[ 2014 ],,,,,
2022-02-28,55?일,?올뉴쏘렌토 2WD 2.0 노블레스 스페셜 [무],오토,2014.09,경유,"140,000",흰색,"1,590",옵션
,,,,[ 2015 ],,,,,
2022-02-28,14?일,?포터2 더블캡(CRDI) 초장축 [무],오토,2012.05,경유,"90,000",흰색,919,옵션
,,,,[ 2012 ],,,,,
2022-02-28,24?일,?올 뉴 카니발 9인승 럭셔리,오토,2018.01,경유,"78,234",흰색,"2,050",옵션
,,,,[ 2018 ],,,,,
2022-02-28,10?일,?포터2 카고(CRDI) 초장축 슈퍼캡,수동,2011.03,경유,"240,000",흰색,390,옵션
,,,,[ 2011 ],,,,,
2022-02-28,6?일,?소나타뉴라이즈 2.0 프리미엄 스페셜 [무],오토,2019.01,휘발유,"31,882",검정색,"2,170",옵션
,,,,[ 2019 ],,,,,
2022-02-28,20?일,?뉴E-클래스 E250 블루텍 4MATIC 아방가르드 [무],오토,2015.06,경유,"50,481",검정색,"3,090",옵션
,,,,[ 2016 ],,,,,
2022-02-28,19?일,?포터2 카고(CRDI) 초장축 슈퍼캡,오토,2013.05,경유,"202,043",흰색,1,옵션
,,,,[ 2014 ],,,,,
2022-02-28,25?일,?LF 소나타 2.0 스타일 [무],오토,2014.07,휘발유,"133,165",검정색,770,옵션
,,,,[ 2015 ],,,,,
2022-02-28,24?일,?YF소나타 LUXURY [무],오토,2011.01,휘발유,"152,075",흰색,420,옵션
,,,,[ 2011 ],,,,,
2022-02-28,13?일,?YF소나타 GRAND [무],오토,2012.05,휘발유,"102,690",검정색,480,옵션
,,,,[ 2012 ],,,,,
2022-02-28,49?일,?G80 3.3 GDI 럭셔리 [무],오토,2017.12,휘발유,"147,000",검정색,"2,180",옵션
,,,,[ 2018 ],,,,,
2022-02-28,20?일,?테라칸 4WD EX290,오토,2003.08,경유,"44,621",은색투톤,320,옵션
,,,,[ 2003 ],,,,,
2022-02-28,7?일,?G80 3.3 GDI AWD 프리미엄 럭셔리 [무],오토,2018.10,휘발유,"70,000",검정색,"3,680",옵션
,,,,[ 2019 ],,,,,
2022-02-28,19?일,?말리부 2.0 디젤 LS 디럭스팩 [무],오토,2015.08,경유,"56,499",흰색,"9,999",옵션
,,,,[ 2015 ],,,,,
2022-02-28,123?일,?그랜저IG 2.4 GDI 프리미엄 스페셜,오토,2017.02,휘발유,"55,875",다크블루,"1,890",옵션
,,,,[ 2017 ],,,,,
2022-02-28,105?일,?그랜저IG 2.4 GDI 프리미엄 [무],오토,2018.08,휘발유,"130,296",검정색,"1,680",옵션
,,,,[ 2018 ],,,,,
2022-02-28,81?일,?투싼iX 2WD VGT LX20 프리미어 [무],오토,2011.01,경유,"171,616",은색,620,옵션
,,,,[ 2011 ],,,,,
