판매일,기간,차량/세부모델,미션,연식,연료,주행거리,색상,가격,옵션
2021-08-31,970?일,?티뷰론터블런스 1.8,수동,2000.08,휘발유,"123,593",검정색,"9,999",옵션
,,,,[ 2000 ],,,,,
2021-08-31,715?일,?싼타페 2WD 2.0 GVS 고급형 [무],오토,2002.05,경유,"219,000",은색,130,옵션
,,,,[ 2002 ],,,,,
2021-08-31,548?일,?뉴스포티지 2WD TLX 고급형,오토,2009.02,경유,"112,243",은색,340,옵션
,,,,[ 2009 ],,,,,
2021-08-31,434?일,?라세티프리미어 SX 고급형 [무],오토,2009.07,휘발유,"153,225",은색,230,옵션
,,,,[ 2009 ],,,,,
2021-08-31,376?일,?LF 소나타 2.0 스마트 기본형 [무],오토,2016.01,휘발유,"144,531",검정색,950,옵션
,,,,[ 2016 ],,,,,
2021-08-31,340?일,?레거시 3.6R [무],오토,2011.04,휘발유,"138,929",쥐색,470,옵션
,,,,[ 2011 ],,,,,
2021-08-31,299?일,?K3 1.6GDI 노블레스 [무],오토,2014.10,휘발유,"109,962",흰색,820,옵션
,,,,[ 2015 ],,,,,
2021-08-31,277?일,?카니발R 뉴 GX 고급형 [무],오토,2010.03,경유,"256,000",흰색,279,옵션
,,,,[ 2010 ],,,,,
2021-08-31,270?일,?SM6 1.6 TCe RE [무],오토,2016.07,휘발유,"78,016",검정색,"1,430",옵션
,,,,[ 2016 ],,,,,
2021-08-31,211?일,?뉴E-클래스 E350 쿠페 [무],오토,2011.02,휘발유,"69,460",은색,"1,660",옵션
,,,,[ 2011 ],,,,,
2021-08-31,187?일,?그랜저IG 3.0 LPI 모던,오토,2016.12,LPG,"141,000",검정색,"1,420",옵션
,,,,[ 2017 ],,,,,
2021-08-31,186?일,?트라제XG 2.0 VGT 9인 GOLD 고급형,오토,2004.04,경유,"207,408",은색,90,옵션
,,,,[ 2004 ],,,,,
2021-08-31,162?일,?뉴체어맨W CW600 SVIP,오토,2013.07,휘발유,"196,234",검정색,690,옵션
,,,,[ 2013 ],,,,,
