판매일,기간,차량/세부모델,미션,연식,연료,주행거리,색상,가격,옵션
2021-10-15,8?일,?SM5뉴임프레션 SE BLACK,오토,2009.04,휘발유,"39,497",검정색,280,옵션
,,,,[ 2009 ],,,,,
2021-10-15,9?일,?G80 3.3 GDI 프리미엄 럭셔리 [무],오토,2017.12,휘발유,"93,179",다크그레이,"2,790",옵션
,,,,[ 2018 ],,,,,
2021-10-15,9?일,?소나타더브릴리언트 CVVL 스마트 [무],오토,2012.09,휘발유,"117,496",검정색,800,옵션
,,,,[ 2013 ],,,,,
2021-10-15,9?일,?스파크 LS,오토,2011.08,휘발유,"97,541",하늘색,310,옵션
,,,,[ 2011 ],,,,,
2021-10-15,9?일,?올뉴투싼 디젤 2.0 2WD 스타일 스페셜,오토,2017.04,경유,"139,000",흰색,11,옵션
,,,,[ 2017 ],,,,,
2021-10-15,9?일,?G80 3.3 GDI 프리미엄 럭셔리 [무],오토,2016.10,휘발유,"45,000",검정색,"3,040",옵션
,,,,[ 2017 ],,,,,
2021-10-15,9?일,?뉴SM3(신형) SE BLACK [무],오토,2010.11,휘발유,"130,000",은색,300,옵션
,,,,[ 2011 ],,,,,
2021-10-15,9?일,?캡티바 2.0 2WD LT 7인 [무],오토,2012.04,경유,"175,000",다크그레이,550,옵션
,,,,[ 2012 ],,,,,
2021-10-15,7?일,?올뉴K3 G1.6 프레스티지 [무],오토,2018.03,휘발유,"41,147",흰색,"1,590",옵션
,,,,[ 2019 ],,,,,
2021-10-15,7?일,?뉴모닝 밴 [무],오토,2010.08,휘발유,"101,323",은색투톤,195,옵션
,,,,[ 2011 ],,,,,
2021-10-15,7?일,?마티즈크리에이티브 GROOVE 스타 [무],오토,2009.10,휘발유,"75,959",검정색,295,옵션
,,,,[ 2010 ],,,,,
2021-10-15,7?일,?제네시스 BH330 LUXYRY VIP팩 [무],오토,2010.11,휘발유,"158,435",검정색,888,옵션
,,,,[ 2011 ],,,,,
2021-10-15,7?일,?포터2 카고(CRDI) 초장축 슈퍼캡 스마트 [무],오토,2020.01,경유,"10,495",흰색,10,옵션
,,,,[ 2020 ],,,,,
2021-10-15,7?일,?다마스2 5인 코치 SUPER,수동,2012.10,LPG,"47,000",청색,380,옵션
,,,,[ 2013 ],,,,,
2021-10-15,7?일,?뉴A4 2.0 TDI [무],오토,2013.08,경유,"185,000",검정색,760,옵션
,,,,[ 2013 ],,,,,
2021-10-15,2?일,?더 뉴 아반떼 1.6 GDI 스타일,수동,2015.09,휘발유,"179,018",빨간색,400,옵션
,,,,[ 2016 ],,,,,
2021-10-14,2?일,?슈퍼렉스턴 RX7 AWD 최고급형 [무],오토,2011.01,경유,"103,937",검정색,580,옵션
,,,,[ 2011 ],,,,,
2021-10-14,2?일,?스파크 스트라이프 에디션 [무],오토,2011.09,휘발유,"117,005",검정색,330,옵션
,,,,[ 2012 ],,,,,
2021-10-14,2?일,?포터2 카고(CRDI) 초장축 슈퍼캡 [무],오토,2014.04,경유,"58,229",파란색,"4,200",옵션
,,,,[ 2015 ],,,,,
2021-10-14,6?일,?뉴SM3(신형) LE 익스클루시브,오토,2012.08,휘발유,"153,863",은회색,440,옵션
,,,,[ 2012 ],,,,,
2021-10-14,6?일,?K7 VG240 디럭스 스페셜 [무],오토,2009.12,휘발유,"100,883",쥐색,650,옵션
,,,,[ 2010 ],,,,,
2021-10-14,6?일,?레이 바이퓨얼 럭셔리,오토,2012.07,LPG,"202,415",흰색,500,옵션
,,,,[ 2012 ],,,,,
2021-10-14,6?일,?뉴SM3(신형) LE,오토,2011.06,휘발유,"166,171",검정색,"5,555",옵션
,,,,[ 2011 ],,,,,
2021-10-14,8?일,?소나타하이브리드 YF HEV PREMIER,오토,2012.07,휘발유 하이브리드,"150,172",검정색,580,옵션
,,,,[ 2012 ],,,,,
2021-10-14,7?일,?뉴5-SERIES 528I 세단,오토,2010.10,휘발유,"150,000",은색,690,옵션
,,,,[ 2010 ],,,,,
2021-10-14,7?일,?포니밴 픽업,수동,1989.04,휘발유,"180,000",흰색,520,옵션
,,,,[ 1989 ],,,,,
2021-10-14,7?일,?QM5네오 4WD LE [무],오토,2014.08,경유,"161,425",흰색,699,옵션
,,,,[ 2014 ],,,,,
2021-10-14,7?일,?그랜저TG뉴럭셔리 L330 럭셔리 스마트팩,오토,2009.09,휘발유,"149,281",검정색,290,옵션
,,,,[ 2010 ],,,,,
2021-10-14,7?일,?뉴모닝 LX 고급형 블랙프리미엄 [무],오토,2009.09,휘발유,"98,218",다크그레이,299,옵션
,,,,[ 2010 ],,,,,
2021-10-14,1?일,?로디우스 11인 EZ SPECIAL 2WD [무],오토,2007.05,경유,"180,000",은색,250,옵션
,,,,[ 2007 ],,,,,
2021-10-14,1?일,?뉴카이런 2.7 LV7 4WD 고급형,오토,2008.06,경유,"286,321",은색,120,옵션
,,,,[ 2008 ],,,,,
2021-10-14,36?일,?그랜드스타렉스밴 5인 [무],오토,2012.05,경유,"321,364",은색,560,옵션
,,,,[ 2012 ],,,,,
2021-10-14,36?일,?봉고3트럭 파워게이트 1톤,오토,2008.03,경유,"349,191",흰색,280,옵션
,,,,[ 2008 ],,,,,
2021-10-14,35?일,?뉴모닝 LX 스페셜,오토,2010.06,휘발유,"76,471",쥐색,10,옵션
,,,,[ 2011 ],,,,,
